DEPTH,CALI,COAL,DT,DT_LOG,DTS,DTS_LOG,GR,NPHI,PHIE,PHIEC,PHIT,PHITC,RHOB,RHOB_LOG,RT,RW,TEMP
3538.2707,9.023,0,66.309,66.309,125.2554,125.2554,15.574,0.0994,0.0497,0.0497,0.0497,0.0497,2.5719,2.572,4.761,0.0209,95.6485
3538.4231,9.017,0,66.306,66.306,127.1245,127.1245,16.225,0.1153,0.0471,0.0471,0.0471,0.0471,2.576,2.576,4.841,0.0209,95.6528
3538.5755,9.023,0,66.365,66.365,127.7507,127.7507,13.957,0.1061,0.0465,0.0465,0.0465,0.0465,2.577,2.577,4.839,0.0209,95.657
3538.7279,9.083,0,66.473,66.473,127.3991,127.3991,20.022,0.1093,0.0458,0.0458,0.0458,0.0458,2.578,2.578,4.67,0.0209,95.6612
3538.8803,9.065,0,66.543,66.543,127.5657,127.5657,20.341,0.0971,0.0249,0.0249,0.0249,0.0249,2.6109,2.611,4.412,0.0209,95.6655
3539.0327,9.059,0,66.57,66.57,127.0925,127.0925,24.016,0.1136,0.0502,0.0502,0.0502,0.0502,2.5712,2.571,4.283,0.0209,95.6697
3539.1851,9.041,0,66.6431,66.6431,126.3825,126.3825,22.349,0.1081,0.0598,0.0598,0.0598,0.0598,2.5561,2.556,4.393,0.0209,95.674
3539.3375,8.993,0,66.8401,66.8401,125.6302,125.6302,20.148,0.1124,0.0548,0.0548,0.0548,0.0548,2.564,2.564,4.634,0.0209,95.6782
3539.4899,9.053,0,67.1161,67.1161,124.526,124.526,22.576,0.0986,0.0617,0.0617,0.0617,0.0617,2.553,2.553,4.777,0.0209,95.6824
3539.6423,9.041,0,67.3451,67.3451,125.8743,125.8743,19.926,0.116,0.0567,0.0567,0.0567,0.0567,2.561,2.561,4.747,0.0209,95.6867
3539.7947,9.035,0,67.4811,67.4811,126.2836,126.2836,19.315,0.1227,0.0579,0.0579,0.0579,0.0579,2.559,2.559,4.662,0.0209,95.6909
3539.9471,9.065,0,67.6191,67.6191,127.0931,127.0931,17.762,0.1006,0.0541,0.0541,0.0541,0.0541,2.565,2.565,4.584,0.0209,95.6951
3540.0995,9.053,0,67.8592,67.8592,127.2764,127.2764,21.947,0.1037,0.0573,0.0573,0.0573,0.0573,2.56,2.56,4.515,0.0209,95.6994
3540.2519,9.029,0,68.1811,68.1811,127.858,127.858,20.965,0.1109,0.0516,0.0516,0.0516,0.0516,2.569,2.569,4.493,0.0209,95.7036
3540.4043,9.017,0,68.4671,68.4671,127.833,127.833,21.367,0.1231,0.0459,0.0459,0.0459,0.0459,2.578,2.578,4.52,0.0209,95.7078
3540.5567,8.987,0,68.611,68.611,127.7697,127.7697,22.504,0.1103,0.0515,0.0515,0.0515,0.0515,2.569,2.569,4.547,0.0209,95.7121
3540.7091,9.053,0,68.5959,68.5959,127.4107,127.4107,22.87,0.1143,0.0503,0.0503,0.0503,0.0503,2.571,2.571,4.585,0.0209,95.7163
3540.8615,9.041,0,68.4969,68.4969,126.9858,126.9858,20.02,0.111,0.0617,0.0617,0.0617,0.0617,2.5531,2.553,4.7,0.0209,95.7205
3541.0139,9.047,0,68.384,68.384,126.7606,126.7606,18.945,0.111,0.0541,0.0541,0.0541,0.0541,2.565,2.565,4.894,0.0209,95.7248
3541.1663,9.053,0,68.287,68.287,127.581,127.581,20.053,0.1011,0.0624,0.0624,0.0624,0.0624,2.5521,2.552,5.058,0.0209,95.729
3541.3187,9.005,0,68.233,68.233,128.8956,128.8956,21.995,0.1043,0.0573,0.0573,0.0573,0.0573,2.56,2.56,5.077,0.0209,95.7333
3541.4711,8.987,0,68.234,68.234,129.6768,129.6768,21.207,0.1113,0.0567,0.0567,0.0567,0.0567,2.561,2.561,4.952,0.0209,95.7375
3541.6235,8.975,0,68.2821,68.2821,129.3558,129.3558,22.196,0.1223,0.0649,0.0649,0.0649,0.0649,2.5481,2.548,4.767,0.0209,95.7417
3541.7759,9.017,0,68.4812,68.4812,129.1217,129.1217,26.556,0.1204,0.0674,0.0673,0.0687,0.0687,2.542,2.542,4.579,0.0209,95.746
3541.9283,9.017,0,68.8682,68.8682,128.7621,128.7621,25.424,0.1212,0.0365,0.0365,0.037,0.037,2.5918,2.592,4.401,0.0209,95.7502
3542.0807,8.993,0,69.3271,69.3271,128.8376,128.8376,27.219,0.1142,0.0472,0.0472,0.049,0.049,2.5731,2.573,4.244,0.0209,95.7544
3542.2331,8.987,0,69.61,69.61,128.2814,128.2814,27.557,0.1249,0.0566,0.0566,0.0585,0.0585,2.5581,2.558,4.171,0.0209,95.7587
3542.3855,8.957,0,69.5228,69.5228,127.4392,127.4392,25.826,0.1272,0.0501,0.0501,0.051,0.051,2.57,2.57,4.262,0.0209,95.7629
3542.5379,8.957,0,69.1088,69.1088,126.3239,126.3239,16.872,0.0997,0.044,0.044,0.044,0.044,2.581,2.581,4.555,0.0209,95.7671
3542.6903,8.981,0,68.5918,68.5918,124.7554,124.7554,16.917,0.1028,0.0331,0.0331,0.0331,0.0331,2.5979,2.598,5.02,0.0209,95.7714
3542.8427,8.987,0,68.1428,68.1428,122.5374,122.5374,16.682,0.0992,0.0718,0.0701,0.0718,0.0701,2.5372,2.537,5.493,0.0209,95.7756
3542.9951,8.987,0,67.7368,67.7368,118.9448,118.9448,17.212,0.0904,0.0662,0.0653,0.0662,0.0653,2.546,2.546,5.676,0.0209,95.7798
3543.1475,8.963,0,67.2377,67.2377,118.6587,118.6587,20.484,0.1023,0.0561,0.0561,0.0561,0.0561,2.5619,2.562,5.496,0.0208,95.7841
3543.2999,8.987,0,66.6388,66.6388,121.0602,121.0602,21.19,0.1115,0.0528,0.0528,0.0528,0.0528,2.567,2.567,5.302,0.0208,95.7883
3543.4523,8.969,0,66.1549,66.1549,124.1488,124.1488,20.55,0.0971,0.0642,0.0639,0.0642,0.0639,2.5491,2.549,5.389,0.0208,95.7925
