Well:,L05-B-01,,,,
DEPTH,GR,DT,RHOB,DRHO,NPHI
112.9,23.17857,-999.25,-999.25,-999.25,-999.25
113,23.713039,-999.25,-999.25,-999.25,-999.25
113.1,24.210258,-999.25,-999.25,-999.25,-999.25
113.2,24.65799,-999.25,-999.25,-999.25,-999.25
113.3,24.708855,-999.25,-999.25,-999.25,-999.25
113.4,24.483051,-999.25,-999.25,-999.25,-999.25
113.5,24.097107,-999.25,-999.25,-999.25,-999.25
113.6,23.718441,-999.25,-999.25,-999.25,-999.25
113.7,23.489353,-999.25,-999.25,-999.25,-999.25
113.8,23.548458,-999.25,-999.25,-999.25,-999.25
113.9,23.561039,-999.25,-999.25,-999.25,-999.25
114,23.483215,-999.25,-999.25,-999.25,-999.25
114.1,23.373566,-999.25,-999.25,-999.25,-999.25
114.2,23.458485,-999.25,-999.25,-999.25,-999.25
114.3,23.726933,-999.25,-999.25,-999.25,-999.25
114.4,24.19146,-999.25,-999.25,-999.25,-999.25
114.5,24.48415,-999.25,-999.25,-999.25,-999.25
114.6,24.574959,-999.25,-999.25,-999.25,-999.25
114.7,24.53743,-999.25,-999.25,-999.25,-999.25
114.8,24.693596,-999.25,-999.25,-999.25,-999.25
114.9,24.993092,-999.25,-999.25,-999.25,-999.25
115,25.028362,-999.25,-999.25,-999.25,-999.25
115.1,24.622604,-999.25,-999.25,-999.25,-999.25
115.2,23.878273,-999.25,-999.25,-999.25,-999.25
115.3,23.081902,-999.25,-999.25,-999.25,-999.25
115.4,22.73209,-999.25,-999.25,-999.25,-999.25
115.5,22.888344,-999.25,-999.25,-999.25,-999.25
115.6,23.509033,-999.25,-999.25,-999.25,-999.25
115.7,23.911713,-999.25,-999.25,-999.25,-999.25
115.8,23.852901,-999.25,-999.25,-999.25,-999.25
115.9,23.483841,-999.25,-999.25,-999.25,-999.25
116,23.006557,-999.25,-999.25,-999.25,-999.25
116.1,22.493999,-999.25,-999.25,-999.25,-999.25
116.2,22.361748,-999.25,-999.25,-999.25,-999.25
116.3,22.537731,-999.25,-999.25,-999.25,-999.25
116.4,22.892284,-999.25,-999.25,-999.25,-999.25
116.5,23.231461,-999.25,-999.25,-999.25,-999.25
116.6,23.399078,-999.25,-999.25,-999.25,-999.25
116.7,23.313255,-999.25,-999.25,-999.25,-999.25
116.8,23.234467,-999.25,-999.25,-999.25,-999.25
116.9,23.320881,-999.25,-999.25,-999.25,-999.25
117,23.566036,-999.25,-999.25,-999.25,-999.25
117.1,23.552303,-999.25,-999.25,-999.25,-999.25
117.2,23.186867,-999.25,-999.25,-999.25,-999.25
117.3,22.70113,-999.25,-999.25,-999.25,-999.25
117.4,22.402084,-999.25,-999.25,-999.25,-999.25
117.5,22.545292,-999.25,-999.25,-999.25,-999.25
117.6,23.290321,-999.25,-999.25,-999.25,-999.25
117.7,24.103497,-999.25,-999.25,-999.25,-999.25
117.8,24.489048,-999.25,-999.25,-999.25,-999.25
117.9,24.468296,-999.25,-999.25,-999.25,-999.25
118,24.280762,-999.25,-999.25,-999.25,-999.25
118.1,24.141796,-999.25,-999.25,-999.25,-999.25
118.2,23.880302,-999.25,-999.25,-999.25,-999.25
118.3,23.389236,-999.25,-999.25,-999.25,-999.25
118.4,22.70425,-999.25,-999.25,-999.25,-999.25
118.5,21.899258,-999.25,-999.25,-999.25,-999.25
118.6,21.23653,-999.25,-999.25,-999.25,-999.25
118.7,21.002338,-999.25,-999.25,-999.25,-999.25
118.8,21.298939,-999.25,-999.25,-999.25,-999.25
118.9,21.887611,-999.25,-999.25,-999.25,-999.25
119,22.308784,-999.25,-999.25,-999.25,-999.25
119.1,22.467239,-999.25,-999.25,-999.25,-999.25
119.2,22.412868,-999.25,-999.25,-999.25,-999.25
119.3,22.388687,-999.25,-999.25,-999.25,-999.25
119.4,22.559467,-999.25,-999.25,-999.25,-999.25
119.5,22.962288,-999.25,-999.25,-999.25,-999.25
119.6,23.376381,-999.25,-999.25,-999.25,-999.25
119.7,23.594685,-999.25,-999.25,-999.25,-999.25
119.8,23.592472,-999.25,-999.25,-999.25,-999.25
119.9,23.663456,-999.25,-999.25,-999.25,-999.25
120,23.947151,-999.25,-999.25,-999.25,-999.25
120.1,24.453178,-999.25,-999.25,-999.25,-999.25
120.2,25.042854,-999.25,-999.25,-999.25,-999.25
120.3,25.61142,-999.25,-999.25,-999.25,-999.25
120.4,26.065437,-999.25,-999.25,-999.25,-999.25
120.5,26.404072,-999.25,-999.25,-999.25,-999.25
120.6,26.763756,-999.25,-999.25,-999.25,-999.25
120.7,27.151318,-999.25,-999.25,-999.25,-999.25
120.8,27.247589,-999.25,-999.25,-999.25,-999.25
120.9,27.013031,-999.25,-999.25,-999.25,-999.25
121,26.595821,-999.25,-999.25,-999.25,-999.25
121.1,25.990784,-999.25,-999.25,-999.25,-999.25
121.2,25.154434,-999.25,-999.25,-999.25,-999.25
121.3,24.251251,-999.25,-999.25,-999.25,-999.25
121.4,23.747093,-999.25,-999.25,-999.25,-999.25
121.5,23.839672,-999.25,-999.25,-999.25,-999.25
121.6,24.39069,-999.25,-999.25,-999.25,-999.25
121.7,25.381134,-999.25,-999.25,-999.25,-999.25
121.8,26.148746,-999.25,-999.25,-999.25,-999.25
121.9,26.205162,-999.25,-999.25,-999.25,-999.25
122,25.743519,-999.25,-999.25,-999.25,-999.25
122.1,25.256847,-999.25,-999.25,-999.25,-999.25
122.2,25.046162,-999.25,-999.25,-999.25,-999.25
122.3,25.131611,-999.25,-999.25,-999.25,-999.25
122.4,25.451981,-999.25,-999.25,-999.25,-999.25
122.5,25.982685,-999.25,-999.25,-999.25,-999.25
122.6,26.822895,-999.25,-999.25,-999.25,-999.25
122.7,27.820385,-999.25,-999.25,-999.25,-999.25
122.8,28.861095,-999.25,-999.25,-999.25,-999.25
122.9,29.19791,-999.25,-999.25,-999.25,-999.25
123,28.98344,-999.25,-999.25,-999.25,-999.25
123.1,28.541512,-999.25,-999.25,-999.25,-999.25
123.2,28.148613,-999.25,-999.25,-999.25,-999.25
123.3,28.002911,-999.25,-999.25,-999.25,-999.25
123.4,28.310928,-999.25,-999.25,-999.25,-999.25
123.5,28.89555,-999.25,-999.25,-999.25,-999.25
123.6,29.490673,-999.25,-999.25,-999.25,-999.25
123.7,29.860901,-999.25,-999.25,-999.25,-999.25
123.8,29.751293,-999.25,-999.25,-999.25,-999.25
123.9,29.197624,-999.25,-999.25,-999.25,-999.25
124,28.05035,-999.25,-999.25,-999.25,-999.25
124.1,27.097038,-999.25,-999.25,-999.25,-999.25
124.2,26.617802,-999.25,-999.25,-999.25,-999.25
124.3,26.900787,-999.25,-999.25,-999.25,-999.25
124.4,27.613979,-999.25,-999.25,-999.25,-999.25
124.5,28.494858,-999.25,-999.25,-999.25,-999.25
124.6,29.342655,-999.25,-999.25,-999.25,-999.25
124.7,29.742401,-999.25,-999.25,-999.25,-999.25
124.8,29.662827,-999.25,-999.25,-999.25,-999.25
124.9,29.219429,-999.25,-999.25,-999.25,-999.25
125,28.963951,-999.25,-999.25,-999.25,-999.25
125.1,29.045185,-999.25,-999.25,-999.25,-999.25
125.2,29.247486,-999.25,-999.25,-999.25,-999.25
125.3,29.238136,-999.25,-999.25,-999.25,-999.25
125.4,28.927441,-999.25,-999.25,-999.25,-999.25
125.5,27.830544,-999.25,-999.25,-999.25,-999.25
125.6,26.428715,-999.25,-999.25,-999.25,-999.25
125.7,25.031067,-999.25,-999.25,-999.25,-999.25
125.8,23.808483,-999.25,-999.25,-999.25,-999.25
125.9,22.799515,-999.25,-999.25,-999.25,-999.25
126,21.991688,-999.25,-999.25,-999.25,-999.25
126.1,22.084824,-999.25,-999.25,-999.25,-999.25
126.2,22.654819,-999.25,-999.25,-999.25,-999.25
126.3,23.309391,-999.25,-999.25,-999.25,-999.25
126.4,23.681084,-999.25,-999.25,-999.25,-999.25
126.5,23.831806,-999.25,-999.25,-999.25,-999.25
126.6,23.890972,-999.25,-999.25,-999.25,-999.25
126.7,24.085762,-999.25,-999.25,-999.25,-999.25
126.8,24.452824,-999.25,-999.25,-999.25,-999.25
126.9,25.023605,-999.25,-999.25,-999.25,-999.25
127,25.73724,-999.25,-999.25,-999.25,-999.25
127.1,26.397823,-999.25,-999.25,-999.25,-999.25
127.2,26.646305,-999.25,-999.25,-999.25,-999.25
127.3,26.254353,-999.25,-999.25,-999.25,-999.25
127.4,25.432404,-999.25,-999.25,-999.25,-999.25
127.5,24.547638,-999.25,-999.25,-999.25,-999.25
127.6,24.192234,-999.25,-999.25,-999.25,-999.25
127.7,24.465477,-999.25,-999.25,-999.25,-999.25
127.8,25.138817,-999.25,-999.25,-999.25,-999.25
127.9,25.613991,-999.25,-999.25,-999.25,-999.25
128,25.56078,-999.25,-999.25,-999.25,-999.25
128.1,25.111919,-999.25,-999.25,-999.25,-999.25
128.2,24.664742,-999.25,-999.25,-999.25,-999.25
128.3,24.490105,-999.25,-999.25,-999.25,-999.25
128.4,24.498058,-999.25,-999.25,-999.25,-999.25
128.5,24.470345,-999.25,-999.25,-999.25,-999.25
128.6,24.301933,-999.25,-999.25,-999.25,-999.25
128.7,24.194912,-999.25,-999.25,-999.25,-999.25
128.8,24.194534,-999.25,-999.25,-999.25,-999.25
128.9,24.209175,-999.25,-999.25,-999.25,-999.25
129,24.407063,-999.25,-999.25,-999.25,-999.25
